,0.6,0.5,0.4,0.2,0.15,0.065,rand100,rand250,rand500
Random Forest,0.9480000000000001,0.8393333333333335,0.8033333333333333,0.584,0.5459999999999999,0.4913333333333334,0.5306666666666666,0.518,0.5106666666666666
XGBoost,0.9693333333333334,0.9533333333333331,0.8966666666666668,0.6206666666666667,0.5766666666666665,0.49800000000000005,0.532,0.5173333333333334,0.51
SVM,0.9553333333333335,0.8479999999999999,0.7286666666666667,0.5619999999999999,0.54,0.5106666666666666,0.5286666666666667,0.5166666666666666,0.5073333333333333
Logistic Regression,0.9513333333333334,0.8993333333333332,0.8346666666666668,0.6113333333333333,0.5726666666666667,0.49399999999999994,0.5286666666666667,0.518,0.5073333333333333
Neural Network 1,0.9246666666666666,0.8246666666666668,0.79,0.6100000000000001,0.5793333333333334,0.49799999999999994,0.526,0.5146666666666666,0.518
Neural Network 2,0.9453333333333334,0.874,0.8126666666666669,0.614,0.5713333333333334,0.4906666666666667,0.5266666666666666,0.5133333333333333,0.5086666666666667
CNN,0.6253333333333333,0.558,0.5640000000000001,0.5293333333333333,0.5199999999999999,0.4926666666666666,0.45999999999999996,0.492,0.45400000000000007
TDA CNN,0.7733333333333332,0.7526666666666666,0.726,0.608,0.5793333333333334,0.5133333333333333,0.538,0.504,0.5286666666666667
