,0.6,0.5,0.4,0.2,0.15,0.065,rand100,rand250,rand500
Random Forest,0.952101546650959,0.9457054822668594,0.9380416649687773,0.9354360579974864,0.918745473571055,0.8419078212413001,0.37048859303209936,0.3647142785591196,0.35615610805210907
XGBoost,0.9408821022412311,0.920849819957042,0.9140192424710788,0.9030614234293329,0.8668364215224681,0.7701409315277313,0.3734992977600209,0.36607533943916776,0.3547889706269737
SVM,0.9705313279010893,0.942041481465484,0.9549790678718043,0.9477716260099722,0.9202079360335175,0.8910788993200978,0.34926120556392726,0.34320274545668433,0.3292538500422362
Logistic Regression,0.9122989720061062,0.8686072737346674,0.8707451584086133,0.8230717266412254,0.7884458238528005,0.7141824258314595,0.3643641216798348,0.36478178910764275,0.3546176465136476
Neural Network 1,0.874272921272332,0.7792985485434916,0.7893092533526624,0.7194233735915845,0.7133873116896373,0.6552499647700953,0.3363483168363168,0.3323334257406378,0.33942968418186126
Neural Network 2,0.905555366807959,0.8450060203073269,0.857394721052908,0.8005517649329551,0.7653219986243243,0.6952129913388798,0.3575801892380076,0.3512070989576101,0.34648718959679164
CNN,0.9818846890049272,0.955433093353712,0.9533738635632407,0.9178549636512645,0.9062829375387516,0.899446465575045,0.9638677422282338,0.9377587427457714,0.9456907465757196
TDA CNN,0.6037331158046972,0.6018122056513169,0.6103860704612399,0.6885405943344096,0.6899502862177281,0.6579603783426895,0.10830872445119247,0.10241617161308292,0.10716536407435602
